CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
20,520013430,Κρεμμύδια φρέσκα,0.9,0.9,0574418_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
21,210614200,Σπανάκι,2.15,2.15,0317685_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
22,210613800,Παντζάρια,1.6,1.6,0317636_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
23,210686900,Καρότα,0.88,0.93,0318261_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
24,520011861,Ραπανάκια,7.2,7.2,0444836_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
25,210686800,Λάχανα,0.6,1.12,0317727_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
26,210615100,Κουνουπίδια,2.15,2.15,0317776_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
27,210637800,Μπρόκολα,3.55,3.55,3204070_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
29,219856800,Μελιτζάνες,1.95,3.2,0317669_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
30,520013430,Μαϊντανός,7.5,7.5,0318469_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
31,520013430,Ανηθος,7.5,7.5,0437285_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
32,210691500,Σέλινο,4.59,4.59,0317768_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
33,210665900,Φασολάκια,4.05,4.05,,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
17.1,210681000,Πατάτες Κύπρου,1.42,1.42,1697325_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
17.2,219859100,Πατάτες εγχώριες,0.77,1.09,0317479_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
17.3,219809600,Πατάτες εισαγωγής,0.8,1.98,0539759_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
28.1,520037810,Πιπεριές χονδρές,2.15,2.78,0317651_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
28.2,764460243,Πιπεριές μακριές,2.38,3.78,0317644_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
7.1,210686500,Μήλα Golden Delicious,2.1,2.1,0317149_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
7.2,219860900,Μήλα Granny Smith,1.98,1.98,0317131_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
7.3,210647400,Μήλα Starkin Delicious,1.85,2.65,3339017_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
